filename,DC.title,year,adjective,count,noun_count
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,kalt,1,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,klar,0,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,still,0,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,warm,0,32
Hermann_Kurz_-_Schillers_Heimatjahre_(1843),Schillers Heimatjahre,1843,feucht,0,32
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,frisch,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,frei,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,rein,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,blau,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,leer,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,kalt,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,klar,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,still,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,warm,0,10
Ernst_Dronke_-_Die_Maikönigin_(1846),Die Maikönigin,1846,feucht,0,10
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,frisch,5,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,frei,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,rein,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,blau,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,leer,1,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,kalt,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,klar,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,still,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,warm,0,32
Wilhelm_Raabe_-_Der_Schüdderump_(1870),Der Schüdderump,1870,feucht,0,32
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,frisch,1,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,frei,1,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,rein,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,blau,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,leer,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,kalt,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,klar,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,still,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,warm,0,3
Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847),Ein gräflicher Geburtstag,1847,feucht,0,3
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,frisch,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,frei,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,rein,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,blau,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,leer,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,kalt,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,klar,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,still,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,warm,0,12
Robert_Hamerling_-_Aspasia_(1875),Aspasia,1875,feucht,0,12
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,frisch,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,frei,1,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,rein,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,blau,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,leer,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,kalt,1,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,klar,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,still,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,warm,0,28
Jean_Paul_-_Der_Komet_(1820),Der Komet,1820,feucht,0,28
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,frisch,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,frei,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,rein,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,blau,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,leer,2,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,kalt,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,klar,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,still,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,warm,0,3
Theodor_Storm_-_Carsten_Curator_(1878),Carsten Curator,1878,feucht,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,frisch,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,frei,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,rein,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,blau,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,leer,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,kalt,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,klar,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,still,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,warm,0,3
Oskar_Panizza_-_Der_Goldregen_(1893),Der Goldregen,1893,feucht,0,3
Alexander_von_Ungern-Sternberg_-_Die_Zerrissenen_(1832),Die Zerrissenen,1832,frisch,0,6
