left context,keyword,right context,modifier,DC.title,author,decade,DC.date,filename,sentence,adjective
", so drang doch eine erfrischende kalte",Luft,"herein, die bewies, daß ihr",kalte,Nena Sahib,Sir John Retcliffe,1850,1858,Sir_John_Retcliffe_-_Nena_Sahib_(1858),"war, so drang doch eine erfrischende kalte Luft herein, die bewies, daß ihr",kalt
", die leitenden Gedanken aus der leeren",Luft,"zuströmen. Da fielen sie, von",leeren,Neue Geschichten aus dem Ghetto,Leopold Kompert,1860,1860,Leopold_Kompert_-_Neue_Geschichten_aus_dem_Ghetto_(1860),"Wollen und Entschließen war, die leitenden Gedanken aus der leeren Luft",leer
", als ob man nichts als leere",Luft,wäre. » Ich ärgere mich aber,leere,Auf der Höhe Band I,Berthold Auerbach,1860,1865,Berthold_Auerbach_-_Auf_der_Höhe_Band_I_(1865),"sich wegsprechen zu lassen, als ob man nichts als leere Luft wäre.",leer
ihnen nach und sprach in die leere,Luft,"hinaus: Leb wohl, Emmy!",leere,Auf der Höhe Dritter Band,Berthold Auerbach,1860,1865,Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865),Sie eilte in Gedanken ihnen nach und sprach in die leere Luft,leer
nachher zu unserer Unterhaltung in der leeren,Luft,tanzen. « Barbadoes wieherte laut auf,leeren,General Franco,Friedrich Gerstäcker,1860,1865,Friedrich_Gerstäcker_-_General_Franco_(1865),leeren Luft tanzen.,leer
wenn seine Kugel mich statt die leere,Luft,getroffen hätte. Seine Familie lebt hier,leere,General Franco,Friedrich Gerstäcker,1860,1865,Friedrich_Gerstäcker_-_General_Franco_(1865),"erreicht, wenn seine Kugel mich statt die leere Luft getroffen hätte.",leer
"Arme, als er in die leere",Luft,"greift. Er springt empor, er",leere,Die Dorfcoquette,Friedrich Spielhagen,1860,1868,Friedrich_Spielhagen_-_Die_Dorfcoquette_(1868),"krampfhaft die starken Arme, als er in die leere Luft greift.",leer
drohte mit der Faust in die leere,Luft,". Es mochte zweifelhaft sein, wem",leere,Der Schüdderump,Wilhelm Raabe,1870,1870,Wilhelm_Raabe_-_Der_Schüdderump_(1870),und drohte mit der Faust in die leere Luft.,leer
ein Mißverhältniß zu demonstriren in die leere,Luft,. Schämte sie sich nicht als Braut,leere,Die letzte Reckenburgerin,Louise von François,1870,1871,Louise_von_François_-_Die_letzte_Reckenburgerin_(1871),in die leere Luft.,leer
die weißen Arme hoch in der leeren,Luft,vergebens nach einem Halt griffen. Jetzt,leeren,Die zweite Frau,Eugenie Marlitt,1870,1874,Eugenie_Marlitt_-_Die_zweite_Frau_(1874),die weißen Arme hoch in der leeren Luft vergebens nach einem Halt griffen.,leer
. Thoma starrte lange in die leere,Luft,"hinein, und sie spürte auch die",leere,Landolin von Reutershöfen,Berthold Auerbach,1870,1878,Berthold_Auerbach_-_Landolin_von_Reutershöfen_(1878),"Thoma starrte lange in die leere Luft hinein, und sie spürte auch die Müdigkeit",leer
es gilt. Und in die leere,Luft,verhallen wird dieser Aufruf nicht. Ich,leere,Vor dem Sturm,Theodor Fontane,1870,1878,Theodor_Fontane_-_Vor_dem_Sturm_(1878),Und in die leere Luft verhallen wird dieser Aufruf nicht.,leer
ging wie ein Beten durch die klare,Luft,". Da schien Donati erschrocken, er",klare,Das Marmorbild,Joseph von Eichendorff,1810,1819,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819),wie ein Beten durch die klare Luft.,klar
unzählige Lerchen sangen schwirrend in der klaren,Luft,. Und so zogen die Glücklichen fröhlich,klaren,Das Marmorbild,Joseph von Eichendorff,1810,1819,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819),"standen hell angeglüht, unzählige Lerchen sangen schwirrend in der klaren Luft.",klar
oder riesige Kegel emporstarrten. Bei klarer,Luft,"zeigte sich der Palmengürtel, der sie",klarer,Tahiti,Friedrich Gerstäcker,1850,1854,Friedrich_Gerstäcker_-_Tahiti_(1854),"Bei klarer Luft zeigte sich der Palmengürtel, der sie umschloß.",klar
", wie der wundervoll klaren, milden",Luft,erfreuten. In ihre Shawls gehüllt gingen,klaren,Die alte Erlaucht,Edmund Hoefer,1850,1857,Edmund_Hoefer_-_Die_alte_Erlaucht_(1857),"trockenen Weges, wie der wundervoll klaren, milden Luft erfreuten.",klar
ein schwarzer dünner Rauchfaden in die klare,Luft,emporstieg. In der Station selber achtete,klare,Sträflinge,Friedrich Gerstäcker,1850,1857,Friedrich_Gerstäcker_-_Sträflinge_(1857),ein schwarzer dünner Rauchfaden in die klare Luft emporstieg.,klar
"Isolde einhertölpend, die klare, milde",Luft,"mit den renommistischen Wolken einer Tabakssorte,",klare,Michel,Johannes Scherr,1850,1858,Johannes_Scherr_-_Michel_(1858),"vor Isolde einhertölpend, die klare, milde Luft mit den renommistischen Wolken",klar
ihren hellen Glocken weit durch die stille,Luft,"klingen, und alle horchten, als",stille,Novellen,Achim von Arnim,1810,1810,Achim_von_Arnim_-_Novellen_(1810),"des Himmels mit ihren hellen Glocken weit durch die stille Luft klingen, und",still
mit ungewissem Liede hoch durch die stille,Luft,schweifend; die Wipfel der Bäume fingen,stille,Das Marmorbild,Joseph von Eichendorff,1810,1819,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819),hoch durch die stille Luft schweifend;,still
Lerchen einen schönen Gesang durch die stille,Luft,herübertönen. Endlich nach langem Umherirren vernahm,stille,Viel Lärmen um Nichts,Joseph von Eichendorff,1830,1833,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833),früherwachter Lerchen einen schönen Gesang durch die stille Luft herübertönen.,still
ein heimlich Klingen draußen in der stillen,Luft,", als zög ' eine Hochzeit ferne",stillen,Die Entführung,Joseph von Eichendorff,1830,1839,Joseph_von_Eichendorff_-_Die_Entführung_(1839),"Klingen draußen in der stillen Luft, als zög' eine Hochzeit ferne an den Bergen",still
