lastname,firstname,title,year,volume,ID,decade
Alexis,Willibald,Isegrimm,1854,,Willibald_Alexis_-_Isegrimm_(1854),1850
Saphir,Moritz Gottlieb,Album geselliger Thorheiten,1858,,Moritz_Gottlieb_Saphir_-_Album_geselliger_Thorheiten_(1858),1850
Gotthelf,Jeremias,Das Erdbeeri Mareili,1850,,Jeremias_Gotthelf_-_Das_Erdbeeri_Mareili_(1850),1850
Hackländer,FW,Eugen Stillfried – Zweiter Band,1852,,FW_Hackländer_-_Eugen_Stillfried_–_Zweiter_Band_(1852),1850
von Schmid,Christoph,Das Täubchen,1854,,Christoph_von_Schmid_-_Das_Täubchen_(1854),1850
Gerstäcker,Friedrich,Die Ahnung,1850,,Friedrich_Gerstäcker_-_Die_Ahnung_(1850),1850
Bronner,Franz Xaver,Ein Mönchsleben aus der empfindsamen Zeit,1850,,Franz_Xaver_Bronner_-_Ein_Mönchsleben_aus_der_empfindsamen_Zeit_(1850),1850
Wildermuth,Ottilie,"Morgen, Mittag und Abend",1855,,"Ottilie_Wildermuth_-_Morgen,_Mittag_und_Abend_(1855)",1850
Kürnberger,Ferdinand,Flucht und Fund,1859,,Ferdinand_Kürnberger_-_Flucht_und_Fund_(1859),1850
Hackländer,FW,Der Augenblick des Glücks,1857,,FW_Hackländer_-_Der_Augenblick_des_Glücks_(1857),1850
Riehl,Wilhelm Heinrich,Die Werke der Barmherzigkeit,1856,,Wilhelm_Heinrich_Riehl_-_Die_Werke_der_Barmherzigkeit_(1856),1850
Gutzkow,Karl,Die Nihilisten,1853,,Karl_Gutzkow_-_Die_Nihilisten_(1853),1850
Wildermuth,Ottilie,Ein sonnenloses Leben,1855,,Ottilie_Wildermuth_-_Ein_sonnenloses_Leben_(1855),1850
Heyse,Paul,Maria Francisca,1858,,Paul_Heyse_-_Maria_Francisca_(1858),1850
Heyse,Paul,Anfang und Ende,1857,,Paul_Heyse_-_Anfang_und_Ende_(1857),1850
Mügge,Theodor,Der Vogt von Sylt,1851,,Theodor_Mügge_-_Der_Vogt_von_Sylt_(1851),1850
Hackländer,FW,Eugen Stillfried,1852,Erster Band,FW_Hackländer_-_Eugen_Stillfried_-_Erster_Band_(1852),1850
von Schmid,Christoph,Das Rotkehlchen,1854,,Christoph_von_Schmid_-_Das_Rotkehlchen_(1854),1850
Riehl,Wilhelm Heinrich,Gräfin Ursula,1856,,Wilhelm_Heinrich_Riehl_-_Gräfin_Ursula_(1856),1850
Retcliffe,Sir John,Nena Sahib,1858,,Sir_John_Retcliffe_-_Nena_Sahib_(1858),1850
von Scheffel,Joseph Victor,Ekkehard,1855,,Joseph_Victor_von_Scheffel_-_Ekkehard_(1855),1850
Storm,Theodor,Hinzelmeier,1855,,Theodor_Storm_-_Hinzelmeier_(1855),1850
Gerstäcker,Friedrich,Die Flucht über die Kordilleren,1859,,Friedrich_Gerstäcker_-_Die_Flucht_über_die_Kordilleren_(1859),1850
Hackländer,FW,Namenlose Geschichten,1851,Erster Band,FW_Hackländer_-_Namenlose_Geschichten_-_Erster_Band_(1851),1850
Riehl,Wilhelm Heinrich,Die Lehrjahre eines Humanisten,1856,,Wilhelm_Heinrich_Riehl_-_Die_Lehrjahre_eines_Humanisten_(1856),1850
Galen,Philipp,Der Strandvogt von Jasmund,1859,Zweiter Band,Philipp_Galen_-_Der_Strandvogt_von_Jasmund_-_Zweiter_Band_(1859),1850
Ludwig,Otto,Zwischen Himmel und Erde,1856,,Otto_Ludwig_-_Zwischen_Himmel_und_Erde_(1856),1850
Gotthelf,Jeremias,Der Besenbinder von Rychiswyl,1852,,Jeremias_Gotthelf_-_Der_Besenbinder_von_Rychiswyl_(1852),1850
Scherr,Johannes,Michel,1858,,Johannes_Scherr_-_Michel_(1858),1850
Kurz,Hermann,Der Weihnachtsfund,1856,,Hermann_Kurz_-_Der_Weihnachtsfund_(1856),1850
Keller,Gottfried,"Spiegel, das Kätzchen",1856,,"Gottfried_Keller_-_Spiegel,_das_Kätzchen_(1856)",1850
Nathusius,Marie,Elisabeth. I. Band,1858,,Marie_Nathusius_-_Elisabeth._I._Band_(1858),1850
Stifter,Adalbert,Bunte Steine,1853,,Adalbert_Stifter_-_Bunte_Steine_(1853),1850
Gerstäcker,Friedrich,John Wells,1859,,Friedrich_Gerstäcker_-_John_Wells_(1859),1850
Hoefer,Edmund,Die alte Erlaucht,1857,,Edmund_Hoefer_-_Die_alte_Erlaucht_(1857),1850
Gutzkow,Karl,Der Zauberer von Rom. I. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._I._Buch_(1858),1850
Gotthelf,Jeremias,Der Oberamtmann und der Amtsrichter,1853,,Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter_(1853),1850
Gerstäcker,Friedrich,Tahiti,1854,,Friedrich_Gerstäcker_-_Tahiti_(1854),1850
Keller,Gottfried,Die drei gerechten Kammacher,1856,,Gottfried_Keller_-_Die_drei_gerechten_Kammacher_(1856),1850
zu Neueck,JJA Pffyfer,O ma patrie!,1853,,JJA_Pffyfer_zu_Neueck_-_O_ma_patrie!_(1853),1850
Gutzkow,Karl,Der Zauberer von Rom. IV. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._IV._Buch_(1858),1850
